Organism_Combination,Count
Aeromonas hydrophila | Citrobacter freundii complex | Citrobacter koseri | Coliform bacteria | Escherichia coli | Klebsiella pneumoniae complex,1
Enterobacter cloacae complex | Enterococcus faecium | Klebsiella aerogenes,1
Candida albicans | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus | Streptococcus agalactiae,1
Alpha-haemolytic streptococcus | Candida dubliniensis | Klebsiella pneumoniae | Neisseria species | Rothia mucilaginosa,1
"Aeromonas species | Corynebacterium striatum | Escherichia coli | Staphylococcus, coagulase negative",1
Fusobacterium species | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Aerococcus species | Bacteroides thetaiotaomicron | Candida glabrata | Diphtheroids | Enterococcus faecium | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Peptostreptococcus species | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus epidermidis | Staphylococcus hominis,1
Candida albicans | Staphylococcus aureus | Yeast,1
Bacteroides fragilis | Bacteroides thetaiotaomicron | Enterococcus avium | Enterococcus faecalis | Escherichia coli | Peptoniphilus species | Proteus mirabilis | Vagococcus lutrae,1
Candida albicans | Candida glabrata | Candida species | Diphtheroids | Enterococcus avium | Escherichia coli,1
Eikenella corrodens | Streptococcus anginosus | Streptococcus constellatus,1
"Bacteroides fragilis | Corynebacterium striatum | Streptococcus, group G",1
Bacteroides species | Candida albicans | Candida glabrata | Coliform bacteria | Corynebacterium species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,1
Candida parapsilosis | Citrobacter koseri | Enterobacter species | Escherichia coli | Prevotella bivia | Pseudomonas aeruginosa | Streptococcus anginosus,1
Peptostreptococcus anaerobius | Prevotella bivia,1
Klebsiella pneumoniae complex | Mycobacterium abscessus | Mycobacterium avium complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Coliform bacteria | Corynebacterium urealyticum | Escherichia coli | Gram-negative bacilli | Haemophilus influenzae | Klebsiella pneumoniae complex | Non-fermentative Gram-negative bacilli | Providencia stuartii | Pseudomonas aeruginosa,1
Brevibacterium species | Proteus mirabilis | Pseudomonas species | Pseudomonas stutzeri,1
"Candida albicans | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Aspergillus fumigatus | Candida parapsilosis | Pichia kudriavzevii | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Salmonella group C | Salmonella group I,1
Candida albicans | Corynebacterium macginleyi | Diphtheroids | Enterococcus faecalis | Escherichia coli | Proteus species | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Methicillin resistant Staphylococcus aureus | Providencia stuartii,1
Aeromonas hydrophila | Aeromonas species | Candida albicans | Candida species | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,1
"Bacteroides fragilis group | Enterobacter cloacae complex | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Flavobacterium species | Pseudomonas aeruginosa,1
"Candida parapsilosis | Enterococcus faecalis | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Klebsiella aerogenes,1
Bifidobacterium longum,1
Candida albicans | Diphtheroids | Gram-negative bacilli | Gram-positive cocci | Klebsiella pneumoniae | Pseudomonas aeruginosa,1
Haemophilus parainfluenzae | Serratia marcescens,1
Haemophilus species | Klebsiella pneumoniae | Mycobacterium species | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Neisseria species | Streptococcus agalactiae | Streptococcus mitis group | Streptococcus parasanguinis,1
"Bacteroides fragilis | Candida parapsilosis | Candida tropicalis | Clostridium species | Escherichia coli | Klebsiella aerogenes | Klebsiella species | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Methicillin resistant Staphylococcus aureus | Morganella morganii,1
Candida tropicalis | Citrobacter koseri | Enterococcus faecalis | Escherichia coli | Streptococcus constellatus,1
Burkholderia cepacia complex | Corynebacterium striatum,1
Achromobacter species | Acid-fast bacillus | Mycobacterium avium complex | Mycobacterium kansasii | Pseudomonas aeruginosa,1
Candida glabrata | Morganella morganii,1
Escherichia coli | Gardnerella vaginalis | Prevotella bivia,1
Candida parapsilosis complex | Coliform bacteria | Corynebacterium striatum,1
Enterobacter hormaechei | Pseudomonas aeruginosa | Staphylococcus epidermidis,1
Anaerobic bacteria | Bacteroides fragilis | Escherichia coli | Gemella morbillorum,1
Acinetobacter baumannii | Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Gram-positive cocci | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Citrobacter species | Enterobacter species,1
Bacteroides fragilis | Candida albicans | Candida glabrata | Enterococcus faecium | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,1
Corynebacterium resistens | Diphtheroids | Enterococcus faecium | Staphylococcus epidermidis,1
Clostridium perfringens | Coliform bacteria | Escherichia coli | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida orthopsilosis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Diphtheroids | Enterococcus faecalis | Enterococcus faecium | Klebsiella species | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus avium | Enterococcus faecalis | Escherichia coli | Proteus mirabilis,1
"Enterobacter cloacae complex | Escherichia coli | Staphylococcus, coagulase negative",1
Candida parapsilosis | Enterobacter cloacae complex | Enterobacter species | Gemella species | Gram-positive cocci in chains | Prevotella intermedia,1
Acinetobacter baumannii | Enterococcus faecalis | Escherichia coli | Proteus mirabilis | Proteus species,1
"Bacteroides thetaiotaomicron | Escherichia coli | Klebsiella pneumoniae | Staphylococcus, coagulase negative",1
Candida tropicalis | Enterococcus faecium | Klebsiella aerogenes,1
Bacteroides fragilis | Klebsiella pneumoniae complex | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis | Corynebacterium striatum | Enterococcus faecium | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Escherichia coli | Mycobacterium abscessus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Citrobacter freundii complex | Enterococcus faecium | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus lugdunensis,1
Coliform bacteria | Escherichia coli | Methicillin resistant Staphylococcus aureus | Non-fermentative Gram-negative bacilli,1
Candida albicans | Candida species | Staphylococcus epidermidis,1
Bacteroides fragilis | Bacteroides species | Enterococcus faecium | Klebsiella pneumoniae complex,1
"Elizabethkingia species | Enterobacter cloacae complex | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus epidermidis | Staphylococcus, coagulase negative",1
Candida albicans | Klebsiella species | Staphylococcus aureus | Streptococcus agalactiae,1
Anaerobic bacteria | Citrobacter koseri | Escherichia coli | Haemophilus parainfluenzae | Klebsiella pneumoniae complex,1
"Candida glabrata | Corynebacterium species | Methicillin resistant Staphylococcus aureus | Staphylococcus species | Staphylococcus, coagulase negative",1
Anaerobic Gram-negative cocci | Bacteroides ovatus | Bacteroides thetaiotaomicron | Bifidobacterium adolescentis | Escherichia coli,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Gram-positive cocci | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Escherichia coli | Staphylococcus saprophyticus | Streptococcus agalactiae,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides nordii | Candida albicans | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Klebsiella species | Pseudomonas aeruginosa | Serratia species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Achromobacter species | Citrobacter species | Clostridioides difficile | Corynebacterium species | Diphtheroids | Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Serratia species | Staphylococcus aureus | Staphylococcus haemolyticus,1
Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Streptococcus sanguinis,1
Aeromonas species | Haemophilus influenzae | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Klebsiella pneumoniae | Proteus mirabilis | Staphylococcus aureus,1
Candida albicans | Candida species | Corynebacterium striatum | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Streptococcus agalactiae,1
Haemophilus influenzae | Mycobacterium fortuitum complex,1
"Enterobacter cloacae complex | Pseudomonas aeruginosa | Serratia marcescens | Staphylococcus, coagulase negative",1
Candida albicans | Citrobacter koseri | Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Candida albicans | Enterobacter cloacae complex | Enterococcus faecium | Pseudomonas aeruginosa | Streptococcus constellatus | Streptococcus species | Yeast,1
Corynebacterium striatum | Klebsiella aerogenes | Streptococcus agalactiae,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus species,1
Enterococcus faecium | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Diphtheroids | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus, group G",1
Candida glabrata | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Anaerobic bacteria | Bacteroides fragilis | Candida albicans | Corynebacterium species | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Streptococcus, group C",1
Acinetobacter species | Escherichia coli | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Enterococcus faecium | Enterococcus species | Klebsiella pneumoniae complex,1
Gram-positive cocci | Streptococcus constellatus | Streptococcus intermedius,1
Candida parapsilosis | Enterococcus faecium | Proteus mirabilis,1
Candida glabrata | Candida tropicalis | Pseudomonas aeruginosa | Streptococcus mitis group,1
Candida albicans | Enterococcus faecium | Pseudomonas aeruginosa | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia species | Staphylococcus aureus,1
Candida tropicalis | Klebsiella pneumoniae | Kocuria species | Morganella morganii | Proteus mirabilis | Rothia koreensis,1
Actinomyces odontolyticus | Streptococcus anginosus | Streptococcus intermedius,1
Aeromonas species | Candida tropicalis | Citrobacter species | Escherichia coli | Klebsiella species,1
Pseudomonas aeruginosa | Salmonella group D | Streptococcus agalactiae,1
Delftia acidovorans,1
"Actinomyces cardiffensis | Actinomyces species | Anaerobic bacteria | Candida tropicalis | Coliform bacteria | Eikenella corrodens | Enterobacter species | Enterococcus faecium | Escherichia coli | Gram-positive bacilli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Lactobacillus species | Neisseria species | Prevotella species | Providencia species | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus constellatus | Streptococcus intermedius | Streptococcus, viridans group",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Gram-positive bacilli,1
Candida albicans | Enterobacter species | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Enterobacter cloacae complex | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Klebsiella pneumoniae complex | Mycobacterium fortuitum complex,1
Enterobacter cloacae | Klebsiella pneumoniae,1
Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
